"FacilityType","Level1Count","Level2Count","Level3Count","Level4Count","Level5Count","Level6Count"
"Administrative Offices","0","28","28","0","0","0"
"Basic primary health care facility","0","1500","1500","1500","0","0"
"Blood Bank","0","2","0","0","0","0"
"Comprehensive Teaching &Referral","0","0","0","0","12","12"
"Comprehensive primary health care facility","0","26","26","26","0","0"
"Dispensaries and clinic-out patient only","0","6605","6605","6605","0","0"
"Farewell Home","0","2","0","0","0","0"
"Hospitals","0","0","0","2","0","0"
"Laboratory","0","51","51","51","0","0"
"Pharmacy","0","5","0","5","0","0"
"Primary care hospitals","0","386","386","386","386","0"
"Primary health  care services","0","0","2","0","0","0"
"Radiology Clinic","0","8","0","8","0","0"
"Regional Blood Transfusion Centre","0","3","0","0","3","0"
"Secondary care hospitals","0","159","159","159","159","159"
"VCT","0","141","0","0","0","0"
